"Latest: Time (s)","Latest: Illumination 2 (lux)","Latest: Force (N)","Latest: Illumination 1 (lux)"
0,,-1.87980020142,764.748077393
0.0025,,-1.89867673282,764.748077393
0.005,,-1.89238455569,764.748077393
0.0075,,-1.72406881742,764.748077393
0.01,,-1.70519228603,764.748077393
0.0125,,-1.81766495225,764.748077393
0.015,,-1.81766495225,764.748077393
0.0175,,-1.80508059799,764.748077393
0.02,,-1.80508059799,685.381774902
0.0225,,-1.87350802429,453.615722656
0.025,,-1.81137277512,362.699890137
0.0275,,-1.76772079627,348.17779541
0.03,,-1.7740129734,355.250854492
0.0325,,-1.85502475397,355.062866211
0.035,,-1.82985604544,351.714324951
0.0375,,-1.74255208774,363.075866699
0.04,,-1.77991188946,377.04574585
0.0425,,-1.89867673282,399.028625488
0.045,,-1.84244039971,399.028625488
0.0475,,-1.75513644201,401.460723877
0.05,,-1.79878842086,428.66027832
0.0525,,-1.88609237855,580.672302246
0.055,,-1.84873257684,764.748077393
0.0575,,-1.85502475397,764.748077393
0.06,,-1.84873257684,764.748077393
0.0625,,-1.81766495225,764.748077393
0.065,,-1.84873257684,764.748077393
0.0675,,-1.92345218027,764.748077393
0.07,,-1.7740129734,764.748077393
0.0725,,-1.72406881742,764.748077393
0.075,,-1.78620406659,764.748077393
0.0775,,-1.77991188946,764.748077393
0.08,,-1.76772079627,764.748077393
0.0825,,-1.7740129734,764.748077393
0.085,,-1.86721584716,530.937652588
0.0875,,-1.90496890995,386.55090332
0.09,,-1.73036099455,355.626831055
0.0925,,-1.74255208774,352.266540527
0.095,,-1.82356386831,354.322662354
0.0975,,-1.89867673282,356.930999756
0.1,,-1.88609237855,360.843505859
0.1025,,-1.85502475397,363.639831543
0.105,,-1.79878842086,385.058746338
0.1075,,-1.77991188946,397.360229492
0.11,,-1.77991188946,410.766143799
0.1125,,-1.84873257684,402.941131592
0.115,,-1.89867673282,486.407928467
0.1175,,-1.91716000314,718.726196289
0.12,,-1.83614822257,764.748077393
0.1225,,-1.8613169311,764.748077393
0.125,,-1.84244039971,764.748077393
0.1275,,-1.84244039971,764.748077393
0.13,,-1.84244039971,764.748077393
0.1325,,-1.84873257684,764.748077393
0.135,,-1.79878842086,764.748077393
0.1375,,-1.81137277512,764.748077393
0.14,,-1.80508059799,764.748077393
0.1425,,-1.80508059799,764.748077393
0.145,,-1.7740129734,764.748077393
0.1475,,-1.83614822257,519.012145996
0.15,,-1.84244039971,383.202362061
0.1525,,-1.80508059799,350.41015625
0.155,,-1.86721584716,352.454528809
0.1575,,-1.92345218027,359.163360596
0.16,,-1.79878842086,353.570709229
0.1625,,-1.63676485972,365.49621582
0.165,,-1.76772079627,367.740325928
0.1675,,-1.85502475397,394.563903809
0.17,,-1.79249624372,401.272735596
0.1725,,-1.71777664029,400.156555176
0.175,,-1.74255208774,419.15512085
0.1775,,-1.7740129734,558.877410889
0.18,,-1.78620406659,764.748077393
0.1825,,-1.81766495225,764.748077393
0.185,,-1.83614822257,764.748077393
0.1875,,-1.71777664029,764.748077393
0.19,,-1.79249624372,764.748077393
0.1925,,-1.92345218027,764.748077393
0.195,,-1.88609237855,764.748077393
0.1975,,-1.7740129734,764.748077393
0.2,,-1.75513644201,764.748077393
0.2025,,-1.68041683857,764.748077393
0.205,,-1.66154030718,764.748077393
0.2075,,-1.73036099455,699.351654053
0.21,,-1.78620406659,461.440734863
0.2125,,-1.6989001089,363.26385498
0.215,,-1.68041683857,346.497650146
0.2175,,-1.79878842086,351.52633667
0.22,,-1.82985604544,353.394470215
0.2225,,-1.89867673282,355.814819336
0.225,,-1.70519228603,362.147674561
0.2275,,-1.61788832833,380.218048096
0.23,,-1.54946090202,396.608276367
0.2325,,-1.75513644201,400.520782471
0.235,,-1.81766495225,404.245300293
0.2375,,-1.7740129734,517.144012451
0.24,,-1.67412466144,730.275726318
0.2425,,-1.79249624372,764.748077393
0.245,,-1.74255208774,764.748077393
0.2475,,-1.80508059799,764.748077393
0.25,,-1.61788832833,764.748077393
0.2525,,-1.77991188946,764.748077393
0.255,,-1.76772079627,764.748077393
0.2575,,-1.44957259006,764.748077393
0.26,,-1.599405058,764.748077393
0.2625,,-1.82985604544,764.748077393
0.265,,-1.90496890995,764.748077393
0.2675,,-1.82356386831,687.061920166
0.27,,-1.82985604544,470.757904053
0.2725,,-1.73625991061,370.160675049
0.275,,-1.66783248431,345.745697021
0.2775,,-1.74255208774,351.338348389
0.28,,-1.85502475397,351.150360107
0.2825,,-1.93603653453,356.179046631
0.285,,-1.87350802429,358.047180176
0.2875,,-1.87980020142,368.668518066
0.29,,-1.71148446316,390.087432861
0.2925,,-1.69260793176,404.809265137
0.295,,-1.78620406659,396.244049072
0.2975,,-1.88609237855,410.025939941
0.3,,-1.92345218027,559.817352295
0.3025,,-1.80508059799,764.748077393
0.305,,-1.74255208774,764.748077393
0.3075,,-1.73625991061,764.748077393
0.31,,-1.50580892318,764.748077393
0.3125,,-1.63047268259,764.748077393
0.315,,-1.72406881742,764.748077393
0.3175,,-1.82356386831,764.748077393
0.32,,-1.73625991061,764.748077393
0.3225,,-1.68041683857,764.748077393
0.325,,-1.72406881742,764.748077393
0.3275,,-1.77991188946,764.748077393
0.33,,-1.87980020142,734.188232422
0.3325,,-1.93603653453,468.337554932
0.335,,-1.80508059799,362.699890137
0.3375,,-1.64895595291,349.658203125
0.34,,-1.63676485972,349.658203125
0.3425,,-1.81137277512,361.031494141
0.345,,-1.88609237855,355.062866211
0.3475,,-1.7740129734,357.118988037
0.35,,-1.78620406659,377.233734131
0.3525,,-1.79878842086,397.548217773
0.355,,-1.57423634948,402.941131592
0.3575,,-1.59311288087,401.824951172
0.36,,-1.48693239178,501.681976318
0.3625,,-1.80508059799,733.636016846
0.365,,-1.65524813005,764.748077393
0.3675,,-1.82985604544,764.748077393
0.37,,-1.87980020142,764.748077393
0.3725,,-1.87350802429,764.748077393
0.375,,-1.79249624372,764.748077393
0.3775,,-1.75513644201,764.748077393
0.38,,-1.71777664029,764.748077393
0.3825,,-1.77991188946,764.748077393
0.385,,-1.8613169311,764.748077393
0.3875,,-1.62418050546,764.748077393
0.39,,-1.61788832833,687.426147461
0.3925,,-1.80508059799,473.930206299
0.395,,-1.87980020142,366.61239624
0.3975,,-1.83614822257,345.193481445
0.4,,-1.81137277512,349.105987549
0.4025,,-1.87980020142,351.52633667
0.405,,-1.82356386831,356.743011475
0.4075,,-1.80508059799,358.047180176
0.41,,-1.82356386831,383.014373779
0.4125,,-1.90496890995,399.780578613
0.415,,-1.73625991061,395.304107666
0.4175,,-1.58052852661,400.156555176
0.42,,-1.58052852661,472.990264893
0.4225,,-1.58682070374,682.585449219
0.425,,-1.6115961512,764.748077393
0.4275,,-1.79249624372,764.748077393
0.43,,-1.87350802429,764.748077393
0.4325,,-1.7740129734,764.748077393
0.435,,-1.53058437063,764.748077393
0.4375,,-1.53687654776,764.748077393
0.44,,-1.2812568518,764.748077393
0.4425,,-1.43108931974,764.748077393
0.445,,-1.40592061121,764.748077393
0.4475,,-1.46844912146,764.748077393
0.45,,-1.72406881742,764.748077393
0.4525,,-1.80508059799,516.027832031
0.455,,-1.60569723514,374.625396729
0.4575,,-1.64895595291,350.41015625
0.46,,-1.56204525629,348.917999268
0.4625,,-1.61788832833,355.438842773
0.465,,-1.47474129859,355.626831055
0.4675,,-1.43108931974,360.467529297
0.47,,-1.74884426488,375.565338135
0.4725,,-1.90496890995,399.028625488
0.475,,-1.84873257684,398.664398193
0.4775,,-1.55575307916,401.824951172
0.48,,-1.40592061121,507.838592529
0.4825,,-1.34378536204,747.605895996
0.485,,-1.35597645523,764.748077393
0.4875,,-1.65524813005,764.748077393
0.49,,-1.81766495225,764.748077393
0.4925,,-1.84873257684,764.748077393
0.495,,-1.88609237855,764.748077393
0.4975,,-1.72406881742,764.748077393
0.5,,-1.73625991061,764.748077393
0.5025,,-1.85502475397,764.748077393
0.505,,-1.80508059799,764.748077393
0.5075,,-1.81137277512,764.748077393
0.51,,-1.74884426488,689.658508301
0.5125,,-1.87350802429,462.192687988
0.515,,-1.87980020142,362.147674561
0.5175,,-1.88609237855,345.745697021
0.52,,-1.63676485972,351.150360107
0.5225,,-1.41221278835,355.438842773
0.525,,-1.65524813005,356.743011475
0.5275,,-1.63047268259,364.944000244
0.53,,-1.59311288087,388.043060303
0.5325,,-1.55575307916,394.187927246
0.535,,-1.64895595291,396.056060791
0.5375,,-1.599405058,408.72177124
0.54,,-1.70519228603,524.969024658
0.5425,,-1.78620406659,755.242919922
0.545,,-1.7740129734,764.748077393
0.5475,,-1.56794417235,764.748077393
0.55,,-1.42479714261,764.748077393
0.5525,,-1.43108931974,764.748077393
0.555,,-1.53058437063,764.748077393
0.5575,,-1.37485298663,764.748077393
0.56,,-1.32490883065,764.748077393
0.5625,,-1.57423634948,764.748077393
0.565,,-1.73625991061,764.748077393
0.5675,,-1.49951674604,764.748077393
