"Latest: Time (s)","Latest: Illumination 2 (lux)","Latest: Force (N)","Latest: Illumination 1 (lux)"
0.235,,-1.76142861914,401.824951172
0.2375,,-1.82985604544,396.056060791
0.24,,-1.73625991061,401.272735596
0.2425,,-1.70519228603,404.069061279
0.245,,-1.74884426488,402.388916016
0.2475,,-1.73625991061,404.997253418
0.25,,-1.67412466144,399.968566895
0.2525,,-1.74255208774,408.909759521
0.255,,-1.80508059799,428.096313477
0.2575,,-1.81137277512,434.053192139
0.26,,-1.70519228603,443.006134033
0.2625,,-1.75513644201,447.470855713
0.265,,-1.73625991061,451.007385254
0.2675,,-1.76772079627,500.75378418
0.27,,-1.76772079627,627.434387207
0.2725,,-1.82985604544,764.748077393
0.275,,-1.81766495225,764.748077393
0.2775,,-1.76772079627,764.748077393
0.28,,-1.81766495225,764.748077393
0.2825,,-1.77991188946,764.748077393
0.285,,-1.77991188946,764.748077393
0.2875,,-1.82356386831,764.748077393
0.29,,-1.83614822257,764.748077393
0.2925,,-1.77991188946,764.748077393
0.295,,-1.73036099455,764.748077393
0.2975,,-1.77991188946,764.748077393
0.3,,-1.80508059799,764.748077393
0.3025,,-1.71777664029,764.748077393
0.305,,-1.68041683857,764.748077393
0.3075,,-1.58052852661,764.748077393
0.31,,-1.6867090157,764.748077393
0.3125,,-1.79878842086,563.541870117
0.315,,-1.81137277512,445.97869873
0.3175,,-1.70519228603,408.345794678
0.32,,-1.81766495225,394.939880371
0.3225,,-1.67412466144,399.404602051
0.325,,-1.66783248431,398.10043335
0.3275,,-1.65524813005,402.012939453
0.33,,-1.73036099455,402.576904297
0.3325,,-1.80508059799,401.272735596
0.335,,-1.89867673282,399.028625488
0.3375,,-1.89867673282,413.010253906
0.34,,-1.71777664029,432.384796143
0.3425,,-1.54946090202,443.006134033
0.345,,-1.26277358147,445.238494873
0.3475,,-1.23760487295,448.222808838
0.35,,-1.10035675927,471.686096191
0.3525,,-1.0382215101,539.12689209
0.355,,-1.1066489364,702.335968018
0.3575,,-0.957209729531,764.748077393
0.36,,-1.00676062444,764.748077393
0.3625,,-1.14400873812,764.748077393
0.365,,-1.1066489364,764.748077393
0.3675,,-1.0193449787,764.748077393
0.37,,-1.11923329066,764.748077393
0.3725,,-0.963108645592,764.748077393
0.375,,-1.00676062444,764.748077393
0.3775,,-1.08187348895,764.748077393
0.38,,-1.11294111353,764.748077393
0.3825,,-0.957209729531,764.748077393
0.385,,-0.907265573551,764.748077393
0.3875,,-0.925748843874,764.748077393
0.39,,-1.00676062444,764.748077393
0.3925,,-1.25018922721,764.748077393
0.395,,-0.994569531249,687.426147461
0.3975,,-1.05041260329,511.187133789
0.4,,-1.18136853984,421.387481689
0.4025,,-0.907265573551,403.505096436
0.405,,-0.907265573551,393.071746826
0.4075,,-0.844737063308,398.852386475
0.41,,-0.782601814135,403.505096436
0.4125,,-1.05041260329,407.793579102
0.415,,-1.38114516376,402.576904297
0.4175,,-1.33749318491,402.200927734
0.42,,-1.16288526951,406.301422119
0.4225,,-1.08187348895,409.83795166
0.425,,-0.975692999855,422.879638672
0.4275,,-0.981985176986,438.905639648
0.43,,-0.969400822723,440.021820068
0.4325,,-1.00086170838,441.878204346
0.435,,-1.00676062444,445.790710449
0.4375,,-0.876197948965,470.569915771
0.44,,-0.963108645592,535.226135254
0.4425,,-1.14400873812,676.064605713
0.445,,-1.15659309238,764.748077393
0.4475,,-1.00086170838,764.748077393
0.45,,-1.01305280157,764.748077393
0.4525,,-1.02563715584,764.748077393
0.455,,-1.0193449787,764.748077393
0.4575,,-1.05041260329,764.748077393
0.46,,-1.56204525629,764.748077393
0.4625,,-1.54316872489,764.748077393
0.465,,-1.30013338319,764.748077393
0.4675,,-1.13181764493,764.748077393
0.47,,-1.33749318491,764.748077393
0.4725,,-1.11923329066,764.748077393
0.475,,-1.14400873812,764.748077393
0.4775,,-0.932041021006,764.748077393
0.48,,-0.888389042157,764.748077393
0.4825,,-1.0193449787,764.748077393
0.485,,-1.02563715584,621.101531982
0.4875,,-0.957209729531,469.077758789
0.49,,-0.988277354118,412.822265625
0.4925,,-1.15030091525,401.084747314
0.495,,-0.913557750682,400.520782471
0.4975,,-0.695297856437,398.10043335
0.5,,-0.632769346194,406.4894104
0.5025,,-0.738949835286,401.824951172
0.505,,-1.05041260329,400.332794189
0.5075,,-0.919849927814,402.941131592
0.51,,-0.938333198137,405.737457275
0.5125,,-0.876197948965,412.634277344
0.515,,-0.919849927814,427.532348633
0.5175,,-0.894681219288,437.037506104
0.52,,-1.25648140434,440.574035645
0.5225,,-1.45586476719,442.066192627
0.525,,-1.16288526951,448.963012695
0.5275,,-0.9509175524,476.35055542
0.53,,-0.894681219288,551.428375244
0.5325,,-1.03192933297,702.335968018
0.535,,-1.02563715584,764.748077393
0.5375,,-1.00086170838,764.748077393
0.54,,-0.957209729531,764.748077393
0.5425,,-0.919849927814,764.748077393
0.545,,-1.15030091525,764.748077393
0.5475,,-1.08187348895,764.748077393
0.55,,-1.08187348895,764.748077393
0.5525,,-1.13771656099,764.748077393
0.555,,-0.981985176986,764.748077393
0.5575,,-0.975692999855,764.748077393
0.56,,-1.00676062444,764.748077393
0.5625,,-1.04451368723,764.748077393
0.565,,-1.00676062444,764.748077393
0.5675,,-0.994569531249,764.748077393
0.57,,-1.05670478042,764.748077393
0.5725,,-1.11923329066,621.101531982
0.575,,-1.09406458214,464.613037109
0.5775,,-0.9509175524,409.649963379
0.58,,-0.9509175524,397.548217773
0.5825,,-1.05670478042,399.780578613
0.585,,-0.913557750682,405.185241699
0.5875,,-0.925748843874,395.116119385
0.59,,-0.938333198137,403.505096436
0.5925,,-0.826253792984,403.317108154
0.595,,-0.832545970115,406.853637695
0.5975,,-0.801085084458,422.691650391
0.6,,-1.07558131182,438.529663086
0.6025,,-0.925748843874,440.574035645
0.605,,-0.975692999855,448.222808838
0.6075,,-0.932041021006,454.555664063
0.61,,-0.969400822723,485.103759766
0.6125,,-0.826253792984,571.9190979
0.615,,-0.794792907327,728.419342041
0.6175,,-0.819961615853,764.748077393
