"Latest: Time (s)","Latest: Illumination 2 (lux)","Latest: Force (N)","Latest: Illumination 1 (lux)"
0,,-1.79249624372,735.304412842
0.0025,,-1.8613169311,764.748077393
0.005,,-1.86721584716,764.748077393
0.0075,,-1.83614822257,764.748077393
0.01,,-1.84873257684,764.748077393
0.0125,,-1.84873257684,764.748077393
0.015,,-1.87350802429,764.748077393
0.0175,,-1.64895595291,764.748077393
0.02,,-1.66783248431,764.748077393
0.0225,,-1.77991188946,764.748077393
0.025,,-1.79878842086,764.748077393
0.0275,,-1.75513644201,764.748077393
0.03,,-1.70519228603,764.748077393
0.0325,,-1.66783248431,764.748077393
0.035,,-1.75513644201,764.748077393
0.0375,,-1.73625991061,726.175231934
0.04,,-1.85502475397,541.735229492
0.0425,,-1.9486208888,409.097747803
0.045,,-1.84873257684,374.625396729
0.0475,,-1.87980020142,368.104553223
0.05,,-1.84244039971,376.117553711
0.0525,,-1.83614822257,372.58102417
0.055,,-1.75513644201,367.740325928
0.0575,,-1.58682070374,378.913879395
0.06,,-1.71148446316,374.437408447
0.0625,,-1.87980020142,391.203613281
0.065,,-1.96710415912,411.330108643
0.0675,,-1.79878842086,420.459289551
0.07,,-1.6867090157,418.03894043
0.0725,,-1.71777664029,420.835266113
0.075,,-1.74255208774,468.901519775
0.0775,,-1.78620406659,603.219146729
0.08,,-1.81766495225,764.748077393
0.0825,,-1.82356386831,764.748077393
0.085,,-1.77991188946,764.748077393
0.0875,,-1.85502475397,764.748077393
0.09,,-1.71777664029,764.748077393
0.0925,,-1.84244039971,764.748077393
0.095,,-1.9486208888,764.748077393
0.0975,,-1.85502475397,764.748077393
0.1,,-1.66783248431,764.748077393
0.1025,,-1.69260793176,764.748077393
0.105,,-1.7740129734,764.748077393
0.1075,,-1.72406881742,764.748077393
0.11,,-1.6989001089,764.748077393
0.1125,,-1.84873257684,764.748077393
0.115,,-1.75513644201,687.614135742
0.1175,,-1.76772079627,486.407928467
0.12,,-1.7740129734,392.883758545
0.1225,,-1.82985604544,365.308227539
0.125,,-1.77991188946,368.856506348
0.1275,,-1.82985604544,372.957000732
0.13,,-1.88609237855,369.408721924
0.1325,,-1.7740129734,369.972686768
0.135,,-1.6867090157,375.92956543
0.1375,,-1.75513644201,386.55090332
0.14,,-1.89238455569,413.010253906
0.1425,,-1.73036099455,414.678649902
0.145,,-1.77991188946,412.822265625
0.1475,,-1.82356386831,420.083312988
0.15,,-1.71148446316,475.974578857
0.1525,,-1.68041683857,600.234832764
0.155,,-1.78620406659,764.748077393
0.1575,,-1.87350802429,764.748077393
0.16,,-1.89867673282,764.748077393
0.1625,,-1.89867673282,764.748077393
0.165,,-1.91716000314,764.748077393
0.1675,,-1.91086782601,764.748077393
0.17,,-1.6989001089,764.748077393
0.1725,,-1.53687654776,764.748077393
0.175,,-1.67412466144,764.748077393
0.1775,,-1.82356386831,764.748077393
0.18,,-1.92345218027,764.748077393
0.1825,,-1.82356386831,764.748077393
0.185,,-1.83614822257,764.748077393
0.1875,,-1.74884426488,764.748077393
0.19,,-1.68041683857,722.450714111
0.1925,,-1.81137277512,518.824157715
0.195,,-1.91086782601,404.069061279
0.1975,,-1.85502475397,370.712890625
0.2,,-1.89867673282,370.900878906
0.2025,,-1.89867673282,368.856506348
0.205,,-1.74255208774,369.972686768
0.2075,,-1.69260793176,373.133239746
0.21,,-1.73625991061,383.202362061
0.2125,,-1.85502475397,379.654083252
0.215,,-1.72406881742,404.433288574
0.2175,,-1.80508059799,413.750457764
0.22,,-1.79878842086,423.619842529
0.2225,,-1.85502475397,418.779144287
0.225,,-1.77991188946,457.52822876
0.2275,,-1.76142861914,574.715423584
0.23,,-1.77991188946,760.459594727
0.2325,,-1.7740129734,764.748077393
0.235,,-1.65524813005,764.748077393
0.2375,,-1.75513644201,764.748077393
0.24,,-1.88609237855,764.748077393
0.2425,,-1.92345218027,764.748077393
0.245,,-1.91086782601,764.748077393
0.2475,,-1.73625991061,764.748077393
0.25,,-1.64895595291,764.748077393
0.2525,,-1.6867090157,764.748077393
0.255,,-1.83614822257,764.748077393
0.2575,,-1.83614822257,764.748077393
0.26,,-1.76772079627,764.748077393
0.2625,,-1.77991188946,764.748077393
0.265,,-1.75513644201,764.748077393
0.2675,,-1.73625991061,702.523956299
0.27,,-1.81137277512,507.086639404
0.2725,,-1.89867673282,401.824951172
0.275,,-1.8613169311,374.625396729
0.2775,,-1.89238455569,367.364349365
0.28,,-1.88609237855,372.393035889
0.2825,,-1.82985604544,374.437408447
0.285,,-1.71777664029,371.276855469
0.2875,,-1.64895595291,378.537902832
0.29,,-1.80508059799,386.174926758
0.2925,,-1.85502475397,405.737457275
0.295,,-1.83614822257,413.750457764
0.2975,,-1.82985604544,418.03894043
0.3,,-1.80508059799,427.356109619
0.3025,,-1.6867090157,467.773590088
0.305,,-1.6989001089,594.277954102
0.3075,,-1.76772079627,764.748077393
0.31,,-1.80508059799,764.748077393
0.3125,,-1.82985604544,764.748077393
0.315,,-1.8613169311,764.748077393
0.3175,,-1.89867673282,764.748077393
0.32,,-1.91086782601,764.748077393
0.3225,,-1.86721584716,764.748077393
0.325,,-1.54946090202,764.748077393
0.3275,,-1.56794417235,764.748077393
0.33,,-1.70519228603,764.748077393
0.3325,,-1.81137277512,764.748077393
0.335,,-1.83614822257,764.748077393
0.3375,,-1.84873257684,764.748077393
0.34,,-1.79878842086,764.748077393
0.3425,,-1.6989001089,755.806884766
0.345,,-1.82985604544,553.472747803
0.3475,,-1.89867673282,424.183807373
0.35,,-1.83614822257,374.261169434
0.3525,,-1.86721584716,373.133239746
0.355,,-1.87980020142,365.684204102
0.3575,,-1.77991188946,375.377349854
0.36,,-1.77991188946,372.393035889
0.3625,,-1.78620406659,374.81338501
0.365,,-1.84873257684,386.362915039
0.3675,,-1.83614822257,410.766143799
0.37,,-1.72406881742,416.92276001
0.3725,,-1.7740129734,420.459289551
0.375,,-1.8613169311,424.183807373
0.3775,,-1.7740129734,477.46673584
0.38,,-1.78620406659,631.534881592
0.3825,,-1.84244039971,764.748077393
0.385,,-1.89867673282,764.748077393
0.3875,,-1.87350802429,764.748077393
0.39,,-1.83614822257,764.748077393
0.3925,,-1.83614822257,764.748077393
0.395,,-1.75513644201,764.748077393
0.3975,,-1.7740129734,764.748077393
0.4,,-1.74884426488,764.748077393
0.4025,,-1.81766495225,764.748077393
0.405,,-1.82356386831,764.748077393
0.4075,,-1.80508059799,764.748077393
0.41,,-1.76142861914,764.748077393
0.4125,,-1.77991188946,764.748077393
0.415,,-1.56794417235,764.748077393
0.4175,,-1.72406881742,634.895172119
0.42,,-1.87350802429,457.716217041
0.4225,,-1.9486208888,386.174926758
0.425,,-1.94232871167,363.075866699
0.4275,,-1.82985604544,373.509216309
0.43,,-1.85502475397,374.625396729
0.4325,,-1.79249624372,370.900878906
0.435,,-1.70519228603,373.321228027
0.4375,,-1.74255208774,383.942565918
0.44,,-1.7740129734,408.533782959
0.4425,,-1.82985604544,418.03894043
0.445,,-1.80508059799,416.92276001
0.4475,,-1.90496890995,424.371795654
