"Latest: Time (s)","Latest: Illumination 2 (lux)","Latest: Force (N)","Latest: Illumination 1 (lux)"
0.8275,,-1.36226863237,764.748077393
0.83,,-1.17546962378,764.748077393
0.8325,,-1.00086170838,764.748077393
0.835,,-1.03192933297,764.748077393
0.8375,,-1.06928913468,520.880279541
0.84,,-1.1066489364,452.875518799
0.8425,,-1.18766071697,449.526977539
0.845,,-1.46215694433,449.526977539
0.8475,,-1.50580892318,449.703216553
0.85,,-1.43108931974,450.643157959
0.8525,,-1.58682070374,456.600036621
0.855,,-1.82356386831,478.770904541
0.8575,,-1.81766495225,486.783905029
0.86,,-1.57423634948,497.769470215
0.8625,,-1.30013338319,634.331207275
0.865,,-1.11923329066,764.748077393
0.8675,,-1.10035675927,764.748077393
0.87,,-1.15030091525,764.748077393
0.8725,,-1.16288526951,764.748077393
0.875,,-1.43108931974,764.748077393
0.8775,,-1.599405058,764.748077393
0.88,,-1.2812568518,764.748077393
0.8825,,-1.23760487295,764.748077393
0.885,,-1.23760487295,764.748077393
0.8875,,-1.28754902893,764.748077393
0.89,,-1.25648140434,764.748077393
0.8925,,-1.64305703685,510.811157227
0.895,,-1.57423634948,444.674530029
0.8975,,-1.63047268259,448.775024414
0.9,,-1.38743734089,454.367675781
0.9025,,-1.44957259006,447.09487915
0.905,,-1.0382215101,449.703216553
0.9075,,-0.988277354118,460.136566162
0.91,,-1.00086170838,483.987579346
0.9125,,-1.23760487295,490.508422852
0.915,,-1.3685608095,508.014831543
0.9175,,-1.64305703685,689.294281006
0.92,,-1.44957259006,764.748077393
0.9225,,-1.32490883065,764.748077393
0.925,,-1.27496467467,764.748077393
0.9275,,-1.15659309238,764.748077393
0.93,,-1.32490883065,764.748077393
0.9325,,-1.25018922721,764.748077393
0.935,,-1.1066489364,764.748077393
0.9375,,-1.00676062444,764.748077393
0.94,,-1.06299695755,764.748077393
0.9425,,-1.35597645523,764.748077393
0.945,,-1.11923329066,764.748077393
0.9475,,-1.25018922721,660.978546143
0.95,,-1.28754902893,488.276062012
0.9525,,-1.08816566608,447.470855713
0.955,,-1.03192933297,446.730651855
0.9575,,-1.1066489364,453.803710938
0.96,,-1.23131269582,452.499542236
0.9625,,-1.34378536204,447.470855713
0.965,,-1.74884426488,452.875518799
0.9675,,-1.70519228603,479.334869385
0.97,,-1.56794417235,492.928771973
0.9725,,-1.37485298663,494.796905518
0.975,,-1.25648140434,546.399688721
0.9775,,-1.25648140434,744.809570313
0.98,,-1.33120100778,764.748077393
0.9825,,-1.22502051869,764.748077393
0.985,,-1.23760487295,764.748077393
0.9875,,-1.0382215101,764.748077393
0.99,,-1.23760487295,764.748077393
0.9925,,-1.38114516376,764.748077393
0.995,,-1.43108931974,764.748077393
0.9975,,-1.2812568518,764.748077393
1,,-1.00676062444,764.748077393
1.0025,,-0.957209729531,764.748077393
1.005,,-1.00676062444,764.748077393
1.0075,,-1.1066489364,764.748077393
1.01,,-1.13771656099,687.426147461
1.0125,,-1.25018922721,487.900085449
1.015,,-1.34378536204,447.470855713
1.0175,,-1.71777664029,437.965698242
